state,lga,pcode,area_sqkm,conflict_intensity,school_count,school_age_total,school_density,population_pressure,proximity_to_conflict,distance_to_nearest_school,evi_score,rank
Borno,Maiduguri,NG008021,139.86577147,234.04619804811216,157,506337,0.31007017065709197,506337,4.496834319700661,0.3019214261557481,1.0,1
Borno,Gwoza,NG008011,2932.51884638,588.2789241347998,93,165241,0.5628143136388668,165241,7.165833139748124,2.9620607581155496,0.9111039843853614,2
Borno,Jere,NG008013,843.30495343,110.3316411456539,108,347253,0.3110124318580401,347253,1.3945410325447836,2.1313077818156834,0.6977747749482537,3
Borno,Bama,NG008003,5017.65311567,375.98414810858486,150,164251,0.9132364490931563,164251,2.7384196060219295,9.875291839717901,0.6887853960528664,4
Borno,Konduga,NG008016,5958.93280391,454.59402139238017,135,107000,1.2616822429906542,107000,6.340546928915091,6.1018589303085315,0.6709515946209518,5
Yobe,Potiskum,NG036014,575.99007689,22.578842392877796,130,307313,0.42302147972913606,307313,1.0278997282534803,2.50252202062883,0.5616066797993053,6
Borno,Ngala,NG008025,1443.40551744,177.57215388435145,37,159772,0.23158000150214056,159772,1.0716050633159138,3.9437459338349137,0.5451698464191282,7
Yobe,Fune,NG036005,5475.00365598,14.342750431188666,231,308595,0.7485539299081321,308595,18.25780829432467,6.1651914493323074,0.5334090737338211,8
Borno,Damboa,NG008007,5823.80543317,285.5618624177372,200,130214,1.5359331561890426,130214,3.0592501073803353,0.8912155802893478,0.5224920536628024,9
Borno,Biu,NG008005,3282.29751951,94.05897354903134,141,225461,0.625385321629905,225461,2.5127687677421986,8.234499509649357,0.5181003054103892,10
Borno,Abadam,NG008001,3916.25182832,251.372973470778,10,71518,0.13982493917615146,71518,1.0993764035581894,13.58912293118759,0.5162105130769733,11
Borno,Kukawa,NG008017,4914.65899475,326.38929381861766,91,70134,1.2975161833062425,70134,4.415405459610101,4.9988691777326935,0.5059400080579334,12
Yobe,Geidam,NG036006,3840.76594591,56.53151314911393,50,216716,0.23071669835175992,216716,8.579692556410649,14.464103322487698,0.4996446341333119,13
Yobe,Damaturu,NG036003,2343.70251948,50.28956205257118,43,217386,0.1978048264377651,217386,10.479300110838189,2.1749141236784717,0.49685695013730075,14
Borno,Askira/Uba,NG008002,2499.53612164,74.40432726711366,198,198236,0.9988094997881313,198236,3.5481057436445673,2.18982047545036,0.44251086343729945,15
Borno,Mobbar,NG008023,2704.71289905,106.4653642041751,35,125460,0.2789733779690738,125460,2.6286768805339378,5.62859745654276,0.43547726353172095,16
Yobe,Gujba,NG036007,3468.99320714,105.87949782975797,114,151872,0.7506321112515804,151872,1.5278792419897693,8.638686047907903,0.43405545569053533,17
Borno,Monguno,NG008024,1892.15572864,131.46773978792203,71,119233,0.5954727298650542,119233,4.032802454834038,3.0597847115733168,0.42996925941520453,18
Adamawa,Yola South,NG002021,931.04804287,6.986094698811677,378,259457,1.4568888100918458,259457,15.590352505876348,2.925734688208055,0.42080057498752277,19
Adamawa,Fufore,NG002002,4730.05574397,0.0,447,274392,1.6290562407067262,274392,13.560300042869432,1.6565047776739454,0.4202104979441119,20
Borno,Marte,NG008022,2958.21541153,214.50643867626107,49,55459,0.8835355848464631,55459,3.8535309574056744,4.649646597813094,0.41267107223306865,21
Borno,Magumeri,NG008020,4728.67184528,81.5113606991411,52,130859,0.39737427307254375,130859,0.4953786074691248,11.62068864682391,0.4106031377871435,22
Yobe,Yunusari,NG036016,3815.34084545,11.853621457190538,86,179012,0.48041472080084013,179012,1.198906215461621,1.0902097527947678,0.39683887878030566,23
Yobe,Fika,NG036004,2151.52880193,2.1408966030120213,137,193200,0.7091097308488613,193200,5.047211688899075,4.148632079147638,0.38900629307208334,24
Yobe,Yusufari,NG036017,3864.56087097,0.0,46,165843,0.277370766327189,165843,26.75862448416462,3.626662777480169,0.3840773309010408,25
Yobe,Gulani,NG036008,2129.77541982,4.464383270422686,103,177928,0.5788858414639629,177928,1.0456289601497122,1.2206241184523672,0.3820234423508732,26
Adamawa,Jada,NG002008,2603.03560697,0.0,326,221447,1.472135544848203,221447,42.0427197858237,1.282893149884991,0.3685641433181999,27
Borno,Hawul,NG008012,2012.94906619,20.777455502161153,246,189738,1.2965246814027764,189738,3.3799522467333274,1.805327664541101,0.3624831074640881,28
Borno,Gubio,NG008009,2622.98713717,62.768475379136056,41,101525,0.40384141836985965,101525,1.6945287485655973,3.073154544021794,0.3582328168519899,29
Borno,Dikwa,NG008008,1890.87164009,123.75808560290001,72,78472,0.9175247221939036,78472,2.5565595272615034,5.282114609110267,0.3530461379778007,30
Borno,Mafa,NG008019,2853.49121834,154.88292023925055,74,61277,1.2076309218793349,61277,11.810117067260014,11.591398463451226,0.34211861547187206,31
Yobe,Tarmuwa,NG036015,4525.37792635,19.584356211436198,70,129192,0.541829215431296,129192,7.035120409851923,1.35704018834026,0.34127072885665544,32
Borno,Kaga,NG008014,2574.67598829,101.84886070040315,75,83466,0.8985694773919919,83466,2.6984049099863716,6.211926266160647,0.3398294445329511,33
Adamawa,Song,NG002018,4038.6730727,1.5796365538703934,328,202892,1.6166236224198094,202892,0.5802243341647284,0.17562748486818028,0.33842348662968497,34
Yobe,Jakusko,NG036009,3529.61777858,0.0,161,158592,1.015183615819209,158592,39.016585852229234,5.402646019829211,0.32558103435465335,35
Yobe,Bade,NG036001,833.60875373,5.9293800430537535,108,137362,0.7862436481705275,137362,17.441429457655307,2.3941145827966475,0.32162914482930227,36
Yobe,Nguru,NG036013,816.64905163,0.0,105,137689,0.762588151558948,137689,26.056898538957977,3.087831769965065,0.31810181961768924,37
Borno,Shani,NG008027,1225.08909485,2.519977590096348,131,143363,0.9137643603998242,143363,1.2412328468949965,1.9072510949912491,0.31688071786508104,38
Borno,Nganzai,NG008026,2313.45444874,84.80601116217025,41,63101,0.6497519849130758,63101,3.9231426043818054,3.9336464827680055,0.3168782770656638,39
Yobe,Bursari,NG036002,3816.70213428,8.519314775178191,120,132614,0.9048818375133847,132614,0.8144596431962902,9.541999718529768,0.3104183984649982,40
Borno,Guzamala,NG008010,2515.50653685,58.237610405330585,33,61296,0.538371182458888,61296,5.8480529600008655,6.302167380598258,0.29759129776775944,41
Adamawa,Gombi,NG002005,2163.60652361,15.464851938911849,335,172650,1.9403417318273963,172650,3.7860664220400926,3.1081232380972295,0.2938419357707279,42
Yobe,Machina,NG036011,1279.90281608,0.0,64,105883,0.6044407506398571,105883,36.51397313048861,4.713343709990575,0.29140213722079295,43
Borno,Kwaya Kusar,NG008018,747.32071413,0.7878045852560513,45,96724,0.4652413051569414,96724,7.7179810816954095,2.3028027503125514,0.2907891329187386,44
Borno,Bayo,NG008004,946.85578936,0.0,100,117391,0.8518540603623787,117391,18.90213003349829,2.7565419258980186,0.28818195279163744,45
Borno,Chibok,NG008006,1519.50322987,84.92344435203584,105,77754,1.3504128404969518,77754,3.191204577105726,1.0819547706904216,0.28677065594696555,46
Adamawa,Ganye,NG002003,2094.7955223,0.19589304692579176,306,164918,1.8554675656993171,164918,6.462584091875793,1.7657412943438455,0.27629635032761846,47
Yobe,Nangere,NG036012,1043.94310588,0.21037853626994787,119,116694,1.0197610845459064,116694,11.189526755018061,2.529726909497496,0.27618643435643814,48
Adamawa,Mayo-Belwa,NG002012,2108.98572093,0.2555502518346178,366,176210,2.0770671358038704,176210,2.531885500600579,1.2715331875767297,0.2746257975353116,49
Adamawa,Michika,NG002013,810.6550601,23.206255941155952,237,137282,1.7263734502702466,137282,5.048668451813625,0.6181630359489615,0.2739321315415196,50
Adamawa,Mubi North,NG002014,753.43803364,17.715423954881054,263,142933,1.8400229478147103,142933,4.729057502657727,1.4661320545681849,0.2677758398281025,51
Yobe,Karasuwa,NG036010,1332.05229765,2.302793451706838,100,96463,1.036666908555612,96463,2.053303970987142,3.4315483223380756,0.25319172102810056,52
Adamawa,Madagali,NG002010,830.71985738,82.34353813199134,210,96518,2.175759961872397,96518,4.34163637021229,2.1829344414083045,0.25054573720360096,53
Adamawa,Mubi South,NG002015,502.72169789,13.09429749971624,253,134215,1.8850352047088628,134215,8.965344197112698,1.390324211655731,0.25017596788754026,54
Adamawa,Girei,NG002004,1193.35105585,23.29051070456692,292,136997,2.1314335350409133,136997,2.7886352641976027,3.8964060212242075,0.24624294247961978,55
Borno,Kala/Balge,NG008015,1877.90511553,68.44177466383967,57,41222,1.3827567803600018,41222,0.661053767367992,4.950332438076755,0.22628440074971565,56
Adamawa,Hong,NG002007,2660.48996798,22.464641178751243,493,166206,2.9661985728553724,166206,1.5520888969226732,2.8672174376859156,0.22329671988313216,57
Adamawa,Yola North,NG002020,63.53436193,0.0,318,140248,2.2674120130055333,140248,7.9285425162775125,0.2885556337928336,0.21919887741831717,58
Adamawa,Maiha,NG002011,1356.49528639,4.55090389297905,218,103270,2.1109712404376877,103270,4.694909443009424,5.562762134112187,0.1905324157460021,59
Adamawa,Demsa,NG002001,1567.94031018,16.63520147735279,316,114893,2.750385140957239,114893,3.487168977382368,1.4788717461321996,0.17213732388488526,60
Adamawa,Shelleng,NG002017,1205.74751535,2.5540562550258854,149,75398,1.9761797395156369,75398,11.20383698250757,1.5090649135478298,0.165021173654019,61
Adamawa,Toungo,NG002019,5577.64967242,0.0,148,68090,2.1735937729475694,68090,57.967692152101634,3.7702721202999925,0.14068072402417112,62
Adamawa,Guyuk,NG002006,688.35355238,0.6583966568763989,288,88941,3.238101662900125,88941,7.798675166459599,1.169268678727721,0.09372501826653186,63
Adamawa,Lamurde,NG002009,1105.84684892,13.361171865364545,212,68584,3.0910999650064155,68584,1.9095420313868547,0.837594582903814,0.09154962701201548,64
Adamawa,Numan,NG002016,834.53038746,15.492126476731224,216,51690,4.178757980266976,51690,2.2644900395930634,2.4994862107258995,0.0,65
