state,lga,pcode,area_sqkm,state_pcode,idps_girls,idps_boys,returnees_girls,returnees_boys,host_girls,host_boys,school_age_girls,school_age_boys,school_age_total,school_age_population_density
Adamawa,Demsa,NG002001,1567.94031018,NG002,6683,6542,4068,3977,49932,43691,60683,54210,114893,73.27638638667963
Adamawa,Fufore,NG002002,4730.05574397,NG002,2420,2075,0,0,143945,125952,146365,128027,274392,58.01030999471881
Adamawa,Ganye,NG002003,2094.7955223,NG002,230,213,0,0,87720,76755,87950,76968,164918,78.72749308673659
Adamawa,Girei,NG002004,1193.35105585,NG002,6070,5180,327,312,66724,58384,73121,63876,136997,114.80025037763912
Adamawa,Gombi,NG002005,2163.60652361,NG002,1370,1082,24754,23581,64994,56869,91118,81532,172650,79.79731902080407
Adamawa,Guyuk,NG002006,688.35355238,NG002,1489,1301,3000,2790,42859,37502,47348,41593,88941,129.20831118323457
Adamawa,Hong,NG002007,2660.48996798,NG002,1620,1349,50732,49628,33534,29343,85886,80320,166206,62.47195140757976
Adamawa,Jada,NG002008,2603.03560697,NG002,196,130,0,0,117931,103190,118127,103320,221447,85.07259731946962
Adamawa,Lamurde,NG002009,1105.84684892,NG002,1687,1502,10290,10146,23978,20981,35955,32629,68584,62.01943792395936
Adamawa,Madagali,NG002010,830.71985738,NG002,5797,5248,18552,15789,27270,23862,51619,44899,96518,116.18597911503797
Adamawa,Maiha,NG002011,1356.49528639,NG002,5697,4550,17237,13197,33381,29208,56315,46955,103270,76.13001020801873
Adamawa,Mayo-Belwa,NG002012,2108.98572093,NG002,491,354,245,203,93289,81628,94025,82185,176210,83.55201187530878
Adamawa,Michika,NG002013,810.6550601,NG002,5884,4892,49055,44875,17374,15202,72313,64969,137282,169.34699696201895
Adamawa,Mubi North,NG002014,753.43803364,NG002,3650,3359,30417,27964,41356,36187,75423,67510,142933,189.7077047059384
Adamawa,Mubi South,NG002015,502.72169789,NG002,2085,1780,35437,30196,34516,30201,72038,62177,134215,266.97673994045
Adamawa,Numan,NG002016,834.53038746,NG002,7061,6179,7631,7119,12640,11060,27332,24358,51690,61.93902675889985
Adamawa,Shelleng,NG002017,1205.74751535,NG002,3621,2428,3235,1876,34260,29978,41116,34282,75398,62.532162861736225
Adamawa,Song,NG002018,4038.6730727,NG002,797,632,12469,7350,96877,84767,110143,92749,202892,50.23729238483751
Adamawa,Toungo,NG002019,5577.64967242,NG002,197,170,0,0,36119,31604,36316,31774,68090,12.207650892218458
Adamawa,Yola North,NG002020,63.53436193,NG002,3389,2225,181,155,71626,62672,75196,65052,140248,2207.4354056552966
Adamawa,Yola South,NG002021,931.04804287,NG002,6914,5563,0,0,131723,115257,138637,120820,259457,278.6719783011534
Borno,Abadam,NG008001,3916.25182832,NG008,0,0,0,0,38143,33375,38143,33375,71518,18.261849118798853
Borno,Askira/Uba,NG008002,2499.53612164,NG008,4744,3170,57156,49494,44625,39047,106525,91711,198236,79.30911591304911
Borno,Bama,NG008003,5017.65311567,NG008,56427,48198,20834,17355,11433,10004,88694,75557,164251,32.73462637085222
Borno,Bayo,NG008004,946.85578936,NG008,85,93,987,972,61469,53785,62541,54850,117391,123.97980908935148
Borno,Biu,NG008005,3282.29751951,NG008,16086,13263,2954,2510,101679,88969,120719,104742,225461,68.68999493795374
Borno,Chibok,NG008006,1519.50322987,NG008,4272,4153,10119,9862,26319,23029,40710,37044,77754,51.170671092717704
Borno,Damboa,NG008007,5823.80543317,NG008,31905,25294,11599,8712,28109,24595,71613,58601,130214,22.35892003849487
Borno,Dikwa,NG008008,1890.87164009,NG008,33767,27780,10182,8329,-846,-740,43103,35369,78472,41.50043733072487
Borno,Gubio,NG008009,2622.98713717,NG008,3421,2890,7208,6129,43668,38209,54297,47228,101525,38.705870326736566
Borno,Guzamala,NG008010,2515.50653685,NG008,0,0,0,0,32691,28605,32691,28605,61296,24.367259278426232
Borno,Gwoza,NG008011,2932.51884638,NG008,56477,46418,31713,23551,3777,3305,91967,73274,165241,56.347804960905556
Borno,Hawul,NG008012,2012.94906619,NG008,6215,5583,8168,7270,86668,75834,101051,88687,189738,94.25871880560084
Borno,Jere,NG008013,843.30495343,NG008,104985,77924,2719,2308,84969,74348,192673,154580,347253,411.7763077136062
Borno,Kaga,NG008014,2574.67598829,NG008,8720,7174,14889,12340,21516,18827,45125,38341,83466,32.418059740183025
Borno,Kala/Balge,NG008015,1877.90511553,NG008,11319,9839,0,0,10701,9363,22020,19202,41222,21.951055811659547
Borno,Konduga,NG008016,5958.93280391,NG008,25993,20474,16579,13672,16150,14132,58722,48278,107000,17.956235373184796
Borno,Kukawa,NG008017,4914.65899475,NG008,0,0,0,0,37405,32729,37405,32729,70134,14.270369536303424
Borno,Kwaya Kusar,NG008018,747.32071413,NG008,2094,1658,0,0,49585,43387,51679,45045,96724,129.42769840469643
Borno,Mafa,NG008019,2853.49121834,NG008,12306,10184,6484,5498,14296,12509,33086,28191,61277,21.474395858014063
Borno,Magumeri,NG008020,4728.67184528,NG008,13667,9154,4091,2830,53929,47188,71687,59172,130859,27.67352108195434
Borno,Maiduguri,NG008021,139.86577147,NG008,70300,57268,0,0,202010,176759,272310,234027,506337,3620.1637804472048
Borno,Marte,NG008022,2958.21541153,NG008,0,0,0,0,29578,25881,29578,25881,55459,18.747451515478517
Borno,Mobbar,NG008023,2704.71289905,NG008,13921,11484,23442,19570,30423,26620,67786,57674,125460,46.385699585366865
Borno,Monguno,NG008024,1892.15572864,NG008,49861,40467,14657,13450,426,372,64944,54289,119233,63.0143693752414
Borno,Ngala,NG008025,1443.40551744,NG008,36957,26558,37871,29912,15186,13288,90014,69758,159772,110.69099990927633
Borno,Nganzai,NG008026,2313.45444874,NG008,0,0,0,0,33654,29447,33654,29447,63101,27.27566131002378
Borno,Shani,NG008027,1225.08909485,NG008,1080,925,0,0,75391,65967,76471,66892,143363,117.02250930374446
Yobe,Bade,NG036001,833.60875373,NG036,5773,4922,0,0,67556,59111,73329,64033,137362,164.77993949244274
Yobe,Bursari,NG036002,3816.70213428,NG036,1453,1073,0,0,69380,60708,70833,61781,132614,34.74570331515192
Yobe,Damaturu,NG036003,2343.70251948,NG036,6726,5631,1402,1196,107963,94468,116091,101295,217386,92.75323902806218
Yobe,Fika,NG036004,2151.52880193,NG036,1300,1075,0,0,101773,89052,103073,90127,193200,89.7966133786787
Yobe,Fune,NG036005,5475.00365598,NG036,1263,953,0,0,163402,142977,164665,143930,308595,56.36434592384997
Yobe,Geidam,NG036006,3840.76594591,NG036,7907,2790,91623,42928,38116,33352,137646,79070,216716,56.42520347556692
Yobe,Gujba,NG036007,3468.99320714,NG036,18089,14826,23762,20958,39593,34644,81444,70428,151872,43.77984934862711
Yobe,Gulani,NG036008,2129.77541982,NG036,618,453,27598,25708,65894,57657,94110,83818,177928,83.54308080757066
Yobe,Jakusko,NG036009,3529.61777858,NG036,872,696,0,0,83746,73278,84618,73974,158592,44.931777305304465
Yobe,Karasuwa,NG036010,1332.05229765,NG036,347,244,0,0,51132,44740,51479,44984,96463,72.41682640402298
Yobe,Machina,NG036011,1279.90281608,NG036,877,360,0,0,55811,48835,56688,49195,105883,82.7273748207628
Yobe,Nangere,NG036012,1043.94310588,NG036,506,437,0,0,61734,54017,62240,54454,116694,111.78195377001113
Yobe,Nguru,NG036013,816.64905163,NG036,3938,1554,0,0,70505,61692,74443,63246,137689,168.6024121685785
Yobe,Potiskum,NG036014,575.99007689,NG036,3236,2990,0,0,160580,140507,163816,143497,307313,533.5387054917776
Yobe,Tarmuwa,NG036015,4525.37792635,NG036,1174,1072,175,153,67530,59088,68879,60313,129192,28.548333885607963
Yobe,Yunusari,NG036016,3815.34084545,NG036,784,613,3707,2809,91253,79846,95744,83268,179012,46.919005994833064
Yobe,Yusufari,NG036017,3864.56087097,NG036,638,598,453,441,87314,76399,88405,77438,165843,42.91380199126573
